"filename", "language", "HTML", "JavaScript", "JSON", "PostCSS", "JavaScript JSX", "XML", "Markdown", "comment", "blank", "total"
"d:\Recipe Website\backend\api\index.js", "JavaScript", 0, 57, 0, 0, 0, 0, 0, 11, 19, 87
"d:\Recipe Website\backend\config\db.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
"d:\Recipe Website\backend\controllers\cartController.js", "JavaScript", 0, 258, 0, 0, 0, 0, 0, 14, 65, 337
"d:\Recipe Website\backend\controllers\categoryController.js", "JavaScript", 0, 95, 0, 0, 0, 0, 0, 32, 28, 155
"d:\Recipe Website\backend\controllers\commentController.js", "JavaScript", 0, 82, 0, 0, 0, 0, 0, 11, 19, 112
"d:\Recipe Website\backend\controllers\dashboardController.js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 5, 3, 38
"d:\Recipe Website\backend\controllers\faqController.js", "JavaScript", 0, 57, 0, 0, 0, 0, 0, 15, 14, 86
"d:\Recipe Website\backend\controllers\newsletterController.js", "JavaScript", 0, 88, 0, 0, 0, 0, 0, 12, 24, 124
"d:\Recipe Website\backend\controllers\orderController.js", "JavaScript", 0, 113, 0, 0, 0, 0, 0, 94, 42, 249
"d:\Recipe Website\backend\controllers\paddleController.js", "JavaScript", 0, 431, 0, 0, 0, 0, 0, 301, 134, 866
"d:\Recipe Website\backend\controllers\productController.js", "JavaScript", 0, 114, 0, 0, 0, 0, 0, 20, 27, 161
"d:\Recipe Website\backend\controllers\recipeController.js", "JavaScript", 0, 73, 0, 0, 0, 0, 0, 18, 21, 112
"d:\Recipe Website\backend\controllers\userController.js", "JavaScript", 0, 71, 0, 0, 0, 0, 0, 18, 14, 103
"d:\Recipe Website\backend\middleware\authMiddleware.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 0, 5, 39
"d:\Recipe Website\backend\middleware\errorMiddleware.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
"d:\Recipe Website\backend\middleware\geoipMiddleware.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 1, 1, 13
"d:\Recipe Website\backend\models\cartModel.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 0, 4, 39
"d:\Recipe Website\backend\models\categoryModel.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 7
"d:\Recipe Website\backend\models\commentModel.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 3, 28
"d:\Recipe Website\backend\models\faqModel.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 7
"d:\Recipe Website\backend\models\newsletterModel.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 1, 3, 26
"d:\Recipe Website\backend\models\orderModel.js", "JavaScript", 0, 99, 0, 0, 0, 0, 0, 2, 7, 108
"d:\Recipe Website\backend\models\productModel.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 14
"d:\Recipe Website\backend\models\recipeModel.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 3, 25
"d:\Recipe Website\backend\models\userModel.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 2, 4, 33
"d:\Recipe Website\backend\package-lock.json", "JSON", 0, 0, 2032, 0, 0, 0, 0, 0, 3, 2035
"d:\Recipe Website\backend\package.json", "JSON", 0, 0, 28, 0, 0, 0, 0, 0, 1, 29
"d:\Recipe Website\backend\routes\cartRoutes.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 4, 14
"d:\Recipe Website\backend\routes\categoryRoutes.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 3, 4, 25
"d:\Recipe Website\backend\routes\commentRoutes.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 2, 4, 20
"d:\Recipe Website\backend\routes\dashboardRoutes.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 1, 2, 9
"d:\Recipe Website\backend\routes\faqRoutes.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 3, 4, 25
"d:\Recipe Website\backend\routes\newsletterRoutes.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 1, 2, 11
"d:\Recipe Website\backend\routes\orderRoutes.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 16, 12, 42
"d:\Recipe Website\backend\routes\paddleRoutes.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 14, 10, 34
"d:\Recipe Website\backend\routes\productRoutes.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 3, 6, 30
"d:\Recipe Website\backend\routes\recipeRoutes.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 4, 5, 37
"d:\Recipe Website\backend\routes\userRoutes.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"d:\Recipe Website\backend\seeder.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 20, 11, 69
"d:\Recipe Website\backend\test-paddle.js", "JavaScript", 0, 44, 0, 0, 0, 0, 0, 12, 14, 70
"d:\Recipe Website\backend\utils\adminOrderNotificationTemplate.js", "JavaScript", 0, 82, 0, 0, 0, 0, 0, 9, 3, 94
"d:\Recipe Website\backend\utils\createCartAdminNotificationHtml.js", "JavaScript", 0, 60, 0, 0, 0, 0, 0, 0, 5, 65
"d:\Recipe Website\backend\utils\createCartOrderConfirmationHtml.js", "JavaScript", 0, 60, 0, 0, 0, 0, 0, 0, 5, 65
