Date : 2025-07-20 13:09:40
Directory : d:\Recipe Website
Total : 138 files,  17916 codes, 1436 comments, 1463 blanks, all 20815 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JSON           |          6 |      9,088 |          0 |          6 |      9,094 |
| JavaScript JSX |         62 |      5,751 |        583 |        759 |      7,093 |
| JavaScript     |         62 |      2,842 |        843 |        653 |      4,338 |
| PostCSS        |          4 |        209 |         10 |         36 |        255 |
| HTML           |          1 |         17 |          0 |          3 |         20 |
| Markdown       |          1 |          7 |          0 |          6 |         13 |
| XML            |          2 |          2 |          0 |          0 |          2 |
+----------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                    | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                       |        138 |     17,916 |      1,436 |      1,463 |     20,815 |
| backend                                                                 |         50 |      4,602 |        695 |        570 |      5,867 |
| backend (Files)                                                         |          5 |      2,143 |         32 |         29 |      2,204 |
| backend\api                                                             |          1 |         57 |         11 |         19 |         87 |
| backend\config                                                          |          1 |         14 |          0 |          2 |         16 |
| backend\controllers                                                     |         11 |      1,412 |        540 |        391 |      2,343 |
| backend\middleware                                                      |          3 |         59 |          1 |          8 |         68 |
| backend\models                                                          |          9 |        258 |          5 |         24 |        287 |
| backend\routes                                                          |         11 |        155 |         47 |         55 |        257 |
| backend\utils                                                           |          9 |        504 |         59 |         42 |        605 |
| frontend                                                                |         88 |     13,314 |        741 |        893 |     14,948 |
| frontend (Files)                                                        |          9 |      7,119 |          2 |         17 |      7,138 |
| frontend\src                                                            |         79 |      6,195 |        739 |        876 |      7,810 |
| frontend\src (Files)                                                    |          6 |        334 |         29 |         59 |        422 |
| frontend\src\api                                                        |          2 |         32 |          1 |          7 |         40 |
| frontend\src\assets                                                     |          2 |          2 |          0 |          0 |          2 |
| frontend\src\assets (Files)                                             |          1 |          1 |          0 |          0 |          1 |
| frontend\src\assets\images                                              |          1 |          1 |          0 |          0 |          1 |
| frontend\src\components                                                 |         28 |      1,684 |        227 |        250 |      2,161 |
| frontend\src\components\common                                          |         12 |        533 |         95 |         95 |        723 |
| frontend\src\components\layout                                          |          8 |        638 |         74 |         80 |        792 |
| frontend\src\components\recipe                                          |          4 |        314 |         27 |         40 |        381 |
| frontend\src\components\ui                                              |          4 |        199 |         31 |         35 |        265 |
| frontend\src\context                                                    |          2 |         83 |          8 |         18 |        109 |
| frontend\src\hooks                                                      |          7 |        138 |        140 |         64 |        342 |
| frontend\src\pages                                                      |         28 |      3,834 |        329 |        459 |      4,622 |
| frontend\src\pages\admin                                                |         10 |      1,484 |         63 |        151 |      1,698 |
